age,pemean,semean,pemed,semed,pemean_fit,semean_fit,pemed_fit,semed_fit
25,31.4,41.5,26.9,25.6,32.6,41.1,29.2,27.9
26,34.7,41.4,30.1,28.2,34.7,43.8,30.4,29.3
27,37.2,55,31.4,32,36.7,46.3,31.5,30.6
28,39.2,43.1,33.5,34.7,38.6,48.7,32.5,31.8
29,40.3,53.8,34.6,33.8,40.3,50.9,33.5,32.9
30,41.9,47.3,35.2,32.8,42,52.9,34.4,33.9
31,43.5,54.8,35.9,35.5,43.5,54.7,35.3,34.8
32,45.2,58.7,37.1,34.5,44.9,56.4,36.1,35.6
33,46.3,55.7,37.2,37.2,46.2,58,36.9,36.4
34,46.3,58.1,37.2,37.1,47.4,59.4,37.6,37.1
35,50,61.2,38.8,38.4,48.6,60.7,38.2,37.7
36,49.6,64,38.8,39.4,49.6,61.8,38.8,38.2
37,51.3,63.7,40,38,50.5,62.9,39.4,38.7
38,52.1,66.1,40,40,51.3,63.8,39.9,39.1
39,52.1,62.4,40,37.1,52.1,64.6,40.3,39.4
40,52.3,65.1,40,38.8,52.7,65.3,40.7,39.7
41,53.4,65.6,40.7,39.2,53.3,65.9,41.1,39.9
42,53.3,65.6,40.7,38.9,53.9,66.5,41.4,40.1
43,54.2,62.9,40.9,38.2,54.3,66.9,41.7,40.2
44,54.8,66,41.4,40.3,54.7,67.3,41.9,40.3
45,54.6,66.8,41.5,38.9,55,67.6,42.1,40.3
46,54.9,68.8,41.4,39.7,55.2,67.8,42.3,40.3
47,54.3,68.5,41.5,40,55.4,68,42.4,40.3
48,55.1,69.3,42.3,41.8,55.6,68.1,42.4,40.2
49,54.6,70.3,42.4,41.4,55.7,68.2,42.5,40.1
50,55.6,68.5,42.4,41.5,55.7,68.2,42.5,40
51,55.5,71,42.5,41,55.7,68.2,42.4,39.8
52,55.8,70,42.5,42.5,55.7,68.2,42.4,39.7
53,55.8,69.7,42.8,40.3,55.6,68.2,42.2,39.5
54,55.7,70.4,42.4,41.4,55.5,68.1,42.1,39.3
55,55.9,72.6,42.8,39.5,55.4,68.1,41.9,39.1
56,56.2,68.1,42.4,36.2,55.2,68,41.7,38.9
57,55.9,64.4,42.6,38.9,55,68,41.5,38.6
58,57,64.3,42.5,37.7,54.8,68,41.3,38.4
59,54.5,68.3,41.4,38.9,54.6,68,41,38.2
60,53.3,65.6,40.7,35.7,54.4,68,40.7,38
61,54.3,64.2,39.5,35,54.1,68,40.3,37.8
62,51.9,66,39.5,34.9,53.9,68.1,40,37.6
63,54,63.9,38.9,38.9,53.6,68.2,39.6,37.5
64,54.6,65,38.8,38.9,53.4,68.4,39.2,37.3
65,52.1,80.2,38.8,38.8,53.1,68.7,38.8,37.2
