age,pe,se,se_fit,pe_fit
25,29.5,27.3,27.4,31.6
26,33.1,33,33.1,34.2
27,36.6,38.8,38.8,36.8
28,39.7,44.4,44.4,39.4
29,42.7,49.9,50,42
30,45.4,55.3,55.5,44.6
31,48.1,60.3,60.9,47.1
32,50.6,65.7,66.3,49.6
33,53.2,71.4,71.5,52.1
34,55.6,77,76.6,54.5
35,57.8,82.2,81.6,56.9
36,59.9,87.1,86.5,59.1
37,61.8,91.7,91.1,61.3
38,63.7,96.1,95.6,63.4
39,65.5,100.6,100,65.5
40,67.3,104.8,104.1,67.4
41,68.9,108.8,108,69.2
42,70.4,112.2,111.7,70.9
43,71.8,115.9,115.2,72.4
44,73.1,118.3,118.4,73.9
45,74.2,121.1,121.3,75.2
46,75.2,122.9,123.9,76.3
47,76.2,125,126.3,77.3
48,77,126.9,128.4,78.1
49,77.7,129,130.1,78.8
50,78.2,130.3,131.5,79.3
51,78.5,131.8,132.6,79.6
52,78.8,132.6,133.3,79.7
53,79,133.1,133.6,79.6
54,79,133.4,133.6,79.3
55,79.1,133.6,133.1,78.7
56,78.8,133.2,132.3,78
57,78.3,131.4,131,77
58,77.6,130.3,129.3,75.7
59,76.8,128.5,127.1,74.2
60,75.3,125.5,124.4,72.5
61,73,123.1,121.3,70.5
62,69.6,118.4,117.7,68.2
63,64.7,113.6,113.6,65.6
64,60.6,107.9,108.9,62.8
65,56,101.5,103.8,59.6
