age,p10,p25,p50,p75,p90,p10_fit,p25_fit,p50_fit,p75_fit,p90_fit
26,-29.2,-5.3,8.9,33,102.1,-23,-3.4,7.6,28.7,90.2
27,-29.4,-5.8,7,26.8,84.9,-25.2,-4.5,6.9,26.7,83.3
28,-29.1,-6.1,5.7,23.3,74.1,-26.9,-5.3,6.2,24.8,77
29,-27.9,-5.9,5.3,21.6,67.6,-28.1,-6,5.6,23,71.1
30,-26.9,-6.1,4.6,20,61.6,-28.9,-6.5,5.1,21.4,65.8
31,-25.8,-5.9,4.3,18.9,56.9,-29.3,-6.9,4.6,19.9,60.9
32,-25,-5.9,4,17.8,52.7,-29.4,-7.2,4.1,18.5,56.4
33,-24.5,-6,3.6,16.7,49.4,-29.2,-7.3,3.7,17.3,52.3
34,-24.8,-6.2,3.2,15.5,45.8,-28.7,-7.4,3.3,16.2,48.7
35,-24.4,-6.3,2.8,14.6,43.5,-28,-7.3,3,15.2,45.4
36,-23.8,-6.2,2.5,13.9,41.6,-27.1,-7.2,2.7,14.3,42.5
37,-23.4,-6.1,2.3,13.3,40,-26.1,-7,2.5,13.5,39.9
38,-23,-6,2.2,12.8,38.3,-24.9,-6.7,2.2,12.7,37.6
39,-22.8,-5.9,2,12.4,37.1,-23.7,-6.4,2,12.1,35.6
40,-22.5,-5.8,2,12.1,36,-22.5,-6.1,1.8,11.5,33.9
41,-22.1,-5.7,1.9,11.7,35,-21.2,-5.8,1.7,11,32.4
42,-21.7,-5.7,1.8,11.4,33.9,-20,-5.4,1.6,10.6,31.2
43,-21.4,-5.6,1.7,11.1,32.9,-18.8,-5.1,1.4,10.2,30.1
44,-21.1,-5.6,1.6,10.7,31.9,-17.8,-4.8,1.3,9.9,29.3
45,-20.9,-5.6,1.6,10.4,31,-16.9,-4.5,1.3,9.6,28.6
46,-20.7,-5.6,1.4,10.1,30.1,-16.2,-4.3,1.2,9.4,28
47,-20.5,-5.6,1.3,9.8,29.3,-15.7,-4.1,1.1,9.2,27.5
48,-20.4,-5.6,1.2,9.5,28.5,-15.5,-4,1.1,9,27.2
49,-20.4,-5.6,1.1,9.2,27.8,-15.6,-3.9,1,8.9,26.9
50,-20.6,-5.8,1,8.9,27,-16.1,-4,0.9,8.7,26.7
51,-20.8,-5.8,0.9,8.7,26.4,-16.9,-4.2,0.9,8.6,26.5
52,-20.8,-5.8,0.8,8.4,25.7,-18.1,-4.5,0.8,8.5,26.3
53,-21,-5.9,0.6,8.1,24.9,-19.8,-4.9,0.7,8.4,26.1
54,-21.3,-6,0.5,7.8,24.3,-21.9,-5.5,0.7,8.2,25.8
55,-22.4,-6.2,0.5,7.6,23.7,-24.6,-6.2,0.6,8.1,25.5
56,-24.6,-6.5,0.3,7.2,22.9,-27.9,-7.1,0.5,7.9,25.2
57,-25.6,-6.7,0.2,7.1,22.5,-31.8,-8.2,0.3,7.7,24.7
58,-27.2,-6.9,0,6.8,22,-36.3,-9.5,0.2,7.4,24.1
59,-29.7,-7.3,-0.1,6.6,21.7,-41.4,-11,0,7.1,23.4
60,-35.5,-8.2,-0.4,6.1,21.1,-47.3,-12.7,-0.2,6.8,22.5
61,-45.6,-9.6,-0.6,5.8,20.3,-54,-14.7,-0.4,6.4,21.4
62,-61.1,-15.4,-1.1,5.3,18.8,-61.4,-16.9,-0.7,6,20.1
63,-91,-26.3,-1.5,4.8,17.2,-69.7,-19.3,-0.9,5.5,18.6
64,-86.4,-21.2,-0.9,5.7,19.4,-78.8,-22,-1.3,4.9,16.9
65,-88.2,-29.5,-0.6,6.5,20.6,-88.8,-25,-1.6,4.2,14.8
