maxdropc,riskpar
0.1,7.64516
0.105,7.3121
0.11,7.00314
0.115,6.71581
0.12,6.44743
0.125,6.19655
0.13,5.96142
0.135,5.74045
0.14,5.53288
0.145,5.33692
0.15,5.15203
0.155,4.97698
0.16,4.81079
0.165,4.65333
0.175,4.36234
0.1825,4.16341
0.19,3.97837
0.195,3.86195
0.2,3.75055
0.20625,3.61831
0.2125,3.49325
0.21875,3.37482
0.225,3.26252
0.23125,3.15611
0.2375,3.05533
0.24375,2.95981
0.25,2.86899
0.25625,2.78263
0.2625,2.70022
0.26875,2.62161
0.275,2.54693
0.28125,2.47585
0.2875,2.40803
0.29375,2.34325
0.3,2.28138
0.30625,2.22243
0.3125,2.16611
0.31875,2.11236
0.325,2.0611
0.33125,2.01203
0.3375,1.96509
0.34375,1.9202
0.35,1.87731
0.35625,1.83632
0.3625,1.79716
0.36875,1.75969
0.375,1.7239
0.38125,1.6896
0.3875,1.65675
0.39375,1.62536
0.4,1.59537
0.4125,1.53931
0.425,1.48818
0.4375,1.44145
0.45,1.39873
0.4625,1.35974
0.475,1.3242
0.4875,1.29175
0.5,1.26218
0.5125,1.23528
0.525,1.211
0.5375,1.18906
0.55,1.16922
0.5625,1.15144
0.575,1.13556
0.5875,1.12133
0.6,1.10867
0.65,1.07122
0.7,1.04998
0.75,1.03919
0.8,1.03496
0.85,1.03396
0.9,1.03378
0.945,1.03378
0.99,1.03378


