Row,Label,Column1,Column2,Column3,Column4,Column5
0,variable,CPS1,CPS2,IRS1,IRS2,IRS3
1,N_person_years,85.1,138.3,169.2,97.7,107.6
2,ave.tot_inc,49.6,66.2,74.1,85.4,88.6
3,p10.tot_inc,8.5,10.6,0,5.5,5.9
4,p25.tot_inc,15.7,20.4,10.5,11.8,12.7
5,p50.tot_inc,30.1,38.9,22,26.4,29
6,p75.tot_inc,54.6,74,60.7,73.9,78.4
7,p90.tot_inc,100.4,138.1,159.9,190.3,193.3
8,ave.se_inc,47.6,65.2,70.3,80.9,75
9,p10.se_inc,8.4,10.4,-5,5.4,-6
10,p25.se_inc,15.3,20.2,10,11,10.2
11,p50.se_inc,29.6,38.8,21,25.1,23.1
12,p75.se_inc,53.2,72.9,57.7,69.8,64.1
13,p90.se_inc,98.2,135.8,152,180.8,167.8
14,college,40.7,46.8,0,54.8,56.5
15,ind1,23,23,23,23,23
16,ind2,81,44,54,54,54
17,ind3,44,54,81,81,81
18,ind4,56,81,62,44,44
19,ind5,62,62,44,62,62
20,male,64.9,68,72.6,72.7,73
21,married,70.4,74.4,62.5,66,67.2
22,yob,1961,1961,1961,1962,1962
